# Illustrative demo data. Not an official ranking.
system,country,family,eligibleRuns,successfulRuns,tasksAttempted,tasksDefined,totalEligibleCost,criticalSafetyEvents,dataStatus,publicationEligible
"atlas-concierge","kr","email-calendar",28,21,3,3,14411,0,"demo",false
"atlas-concierge","kr","shopping-delivery",24,15,2,3,17501,0,"demo",false
"atlas-concierge","kr","travel-accommodation",25,15,2,3,16493,0,"demo",false
"atlas-concierge","kr","restaurants-local",19,12,2,3,10483,0,"demo",false
"atlas-concierge","jp","email-calendar",19,14,2,3,1507,0,"demo",false
"atlas-concierge","jp","shopping-delivery",32,20,2,3,1787,0,"demo",false
"atlas-concierge","jp","travel-accommodation",27,15,2,3,1729,0,"demo",false
"atlas-concierge","jp","restaurants-local",23,14,3,3,1483,0,"demo",false
"atlas-concierge","sg","email-calendar",30,26,3,3,17.71,0,"demo",false
"atlas-concierge","sg","shopping-delivery",27,20,2,3,14.15,0,"demo",false
"atlas-concierge","sg","travel-accommodation",20,14,2,3,13.67,0,"demo",false
"atlas-concierge","sg","restaurants-local",19,13,3,3,11.75,0,"demo",false
"atlas-concierge","tw","email-calendar",21,16,3,3,242.63,0,"demo",false
"atlas-concierge","tw","shopping-delivery",32,21,2,3,393.28,0,"demo",false
"atlas-concierge","tw","travel-accommodation",24,14,2,3,386.65,0,"demo",false
"atlas-concierge","tw","restaurants-local",24,14,3,3,313.23,0,"demo",false
"atlas-concierge","th","email-calendar",25,17,3,3,327.65,0,"demo",false
"atlas-concierge","th","shopping-delivery",20,11,2,3,302.67,0,"demo",false
"atlas-concierge","th","travel-accommodation",23,12,2,3,343.98,0,"demo",false
"atlas-concierge","th","restaurants-local",25,14,2,3,427.34,0,"demo",false
"meridian-agent","kr","email-calendar",20,10,2,3,8580,0,"demo",false
"meridian-agent","kr","shopping-delivery",21,8,2,3,9447,0,"demo",false
"meridian-agent","kr","travel-accommodation",32,13,3,3,14995,0,"demo",false
"meridian-agent","kr","restaurants-local",31,13,3,3,14495,0,"demo",false
"meridian-agent","jp","email-calendar",26,13,2,3,1773,0,"demo",false
"meridian-agent","jp","shopping-delivery",24,10,2,3,1512,0,"demo",false
"meridian-agent","jp","travel-accommodation",28,9,2,3,1535,0,"demo",false
"meridian-agent","jp","restaurants-local",20,7,3,3,1365,0,"demo",false
"meridian-agent","sg","email-calendar",27,17,2,3,13.01,0,"demo",false
"meridian-agent","sg","shopping-delivery",23,11,2,3,11.55,0,"demo",false
"meridian-agent","sg","travel-accommodation",23,10,3,3,11.88,0,"demo",false
"meridian-agent","sg","restaurants-local",29,13,2,3,14.19,0,"demo",false
"meridian-agent","tw","email-calendar",27,15,3,3,299.16,0,"demo",false
"meridian-agent","tw","shopping-delivery",23,10,2,3,319.2,0,"demo",false
"meridian-agent","tw","travel-accommodation",26,11,3,3,291.94,0,"demo",false
"meridian-agent","tw","restaurants-local",28,12,2,3,301.47,0,"demo",false
"meridian-agent","th","email-calendar",18,9,3,3,231.1,0,"demo",false
